                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.6913,                0.88511,                  1.171,                0.71368,                0.83713,                0.81874,                 0.4096,                 1.7239,                0.91044,                 1.2162,                0.00175,                0.00175,                0.00175
                    127,                 1.6601,                0.86187,                 1.1682,                0.74319,                0.77696,                0.80777,                0.40198,                 1.7316,                0.92168,                 1.2201,               0.001684,               0.001684,               0.001684
                    128,                 1.6656,                0.87187,                 1.1643,                0.71377,                0.82466,                0.81621,                0.39583,                 1.7595,                0.98096,                 1.2362,               0.001618,               0.001618,               0.001618
                    129,                 1.6703,                0.88226,                 1.1764,                0.76187,                 0.8015,                0.82772,                 0.4105,                 1.7331,                0.91966,                 1.2216,               0.001552,               0.001552,               0.001552
                    130,                 1.6591,                0.87141,                 1.1692,                0.76024,                 0.8157,                0.82988,                0.40621,                 1.7182,                0.92442,                 1.2119,               0.001486,               0.001486,               0.001486
                    131,                 1.6451,                0.85435,                 1.1545,                 0.6957,                0.80016,                0.80844,                0.39159,                 1.7434,                0.97482,                 1.2269,                0.00142,                0.00142,                0.00142
                    132,                 1.6625,                 0.8663,                  1.154,                0.70825,                0.79359,                0.81795,                0.40151,                 1.7391,                0.93535,                 1.2264,               0.001354,               0.001354,               0.001354
                    133,                 1.6634,                0.86778,                 1.1615,                0.74374,                0.78934,                0.82939,                0.41381,                 1.7047,                 0.9235,                 1.2111,               0.001288,               0.001288,               0.001288
                    134,                 1.6625,                0.87466,                 1.1756,                0.73229,                0.78744,                0.82334,                0.41596,                 1.6945,                0.91245,                 1.2095,               0.001222,               0.001222,               0.001222
                    135,                   1.66,                0.86285,                 1.1654,                0.71167,                0.80281,                0.81792,                0.39519,                 1.7675,                0.95187,                 1.2406,               0.001156,               0.001156,               0.001156
                    136,                 1.6594,                0.85393,                 1.1612,                0.73003,                0.80677,                0.82883,                0.41413,                  1.733,                0.92405,                 1.2242,                0.00109,                0.00109,                0.00109
                    137,                 1.6604,                0.85559,                 1.1622,                0.76004,                0.78562,                0.83207,                 0.4187,                 1.7192,                0.92711,                 1.2165,               0.001024,               0.001024,               0.001024
                    138,                 1.6572,                0.85206,                 1.1645,                0.75859,                0.79376,                0.83241,                0.42364,                 1.7135,                0.91633,                 1.2146,               0.000958,               0.000958,               0.000958
                    139,                 1.6526,                0.85832,                  1.163,                0.75541,                0.78863,                0.83209,                0.42535,                 1.6903,                0.91173,                 1.2055,               0.000892,               0.000892,               0.000892
                    140,                 1.6354,                0.84239,                 1.1738,                0.74964,                0.82047,                0.83269,                0.41638,                 1.7249,                 0.9222,                 1.2169,               0.000826,               0.000826,               0.000826
                    141,                 1.6624,                0.86369,                 1.1464,                0.72585,                 0.8164,                0.83229,                0.41978,                 1.7023,                0.92871,                 1.2083,                0.00076,                0.00076,                0.00076
                    142,                 1.6562,                0.84859,                 1.1664,                0.77548,                0.78395,                0.82573,                0.41821,                 1.7096,                0.92868,                 1.2134,               0.000694,               0.000694,               0.000694
                    143,                 1.6509,                0.84857,                 1.1733,                0.77226,                0.78642,                0.83304,                0.41978,                 1.7097,                0.91041,                  1.213,               0.000628,               0.000628,               0.000628
                    144,                 1.6385,                0.84031,                 1.1437,                0.75977,                0.79586,                0.83371,                0.42556,                 1.7102,                 0.9038,                  1.211,               0.000562,               0.000562,               0.000562
                    145,                 1.6367,                0.82206,                 1.1512,                0.77398,                0.79288,                0.83238,                0.41999,                 1.7071,                0.91057,                 1.2102,               0.000496,               0.000496,               0.000496
                    146,                 1.6475,                0.83084,                 1.1607,                0.75149,                0.80337,                0.82604,                0.41592,                 1.6911,                0.92695,                 1.2058,                0.00043,                0.00043,                0.00043
                    147,                 1.6449,                0.84524,                 1.1405,                0.76002,                0.81974,                0.83816,                0.42477,                 1.7085,                0.90849,                 1.2119,               0.000364,               0.000364,               0.000364
                    148,                 1.6418,                 0.8386,                 1.1697,                0.77489,                0.78606,                0.83257,                0.42154,                 1.7181,                0.90694,                 1.2159,               0.000298,               0.000298,               0.000298
                    149,                 1.6492,                0.83253,                 1.1507,                0.77684,                0.77293,                0.83175,                0.42141,                 1.7023,                0.90592,                 1.2098,               0.000232,               0.000232,               0.000232
